Title,Tokens,Clean Tokens
usc01,86448,49186
usc02,2787354,1429091
usc03,241628,143233
usc04,88632,45539
usc05,5752131,3022284
usc05A,402069,292921
usc06,1868609,923624
usc07,8890968,4600229
usc08,2211879,1266676
usc09,35461,17127
usc10,15460864,8558418
usc11,1340727,727245
usc11a,507665,317723
usc12,7314539,3973107
usc13,150739,85906
usc14,1044047,549403
usc15,9246980,4857950
usc16,10023036,5281865
usc17,767025,459218
usc18,3763742,2068117
usc18a,531661,374857
usc19,4368676,2454427
usc20,7191993,3769767
usc21,3485277,1896521
usc22,8256183,4507432
usc23,1944971,1113203
usc24,219695,114012
usc25,3301536,1596349
usc26,17446919,9522451
usc27,74676,41372
usc28,2654461,1465117
usc28a,1235673,852098
usc29,3562750,1881235
usc30,1251411,690684
usc31,2610530,1324794
usc32,273372,138064
usc33,3735748,1989096
usc34,2755439,1351529
usc35,581597,331616
usc36,2329985,906934
usc37,1218527,654905
usc38,5435890,3087799
usc39,638666,308440
usc40,1467685,666749
usc41,985688,468588
usc42,33311058,18184537
usc43,2413908,1321574
usc44,845278,457066
usc45,952737,562294
usc46,2991558,1402047
usc47,1774912,921339
usc48,1317092,765673
usc49,7698432,3913537
usc50,4432277,2368213
usc50A,488,397
usc51,837325,407851
usc52,544370,270385
usc54,1005922,437749
